,District,PostalCode
0,Ancón,02
1,Ate,03
2,Barranco,04
3,Breña,05
4,Carabayllo,06
5,Chaclacayo,08
6,Chorrillos,09
7,Cieneguilla,40
8,Comas,07
9,El Agustino,10
10,Independencia,28
11,Jesús María,11
12,La Molina,12
13,La Victoria,13
14,Lima,01
15,Lince,14
16,Los Olivos,39
17,Lurigancho,15
18,Lurín,16
19,Magdalena del Mar,17
20,Miraflores,18
21,Pachacamac,19
22,Pucusana,20
23,Pueblo Libre,21
24,Puente Piedra,22
25,Punta Hermosa,24
26,Punta Negra,23
27,Rímac,25
28,San Bartolo,26
29,San Borja,41
30,San Isidro,27
31,San Juan de Lurigancho,36
32,San Juan de Miraflores,29
33,San Luis,30
34,San Martín de Porres,31
35,San Miguel,32
36,Santa Anita,43
37,Santa María del Mar District,37
38,Santa Rosa,38
39,Santiago de Surco,33
40,Surquillo,34
41,Villa El Salvador,42
42,Villa María del Triunfo,35
