,District,PostalCode,latitude,longitude
0,Ancón,02,-11.7141467,-77.1118607
1,Ate,03,-12.0382487,-76.8937447
2,Barranco,04,-12.1446757,-77.0232007
3,Breña,05,-12.0599603,-77.0526724
4,Carabayllo,06,-11.8094837,-76.9992707
5,Chaclacayo,08,-11.9885867,-76.7592167
6,Chorrillos,09,-12.1959807,-77.0125267
7,Cieneguilla,40,-12.0768007,-76.7791097
8,Comas,07,-11.9331857,-77.0450257
9,El Agustino,10,-12.0448967,-76.9987497
10,Independencia,28,-11.9931847,-77.0509117
11,Jesús María,11,-12.0799127,-77.0539457
12,La Molina,12,-12.087428,-76.926916
13,La Victoria,13,-12.0712137,-77.0203807
14,Cercado de Lima,01,-12.044042,-77.0517607
15,Lince,14,-12.0840267,-77.0392307
16,Los Olivos,39,-11.9688637,-77.0758017
17,Lurigancho,15,-11.9901787,-76.9092237
18,Lurín,16,-12.2602937,-76.8661907
19,Magdalena del Mar,17,-12.0923687,-77.0747117
20,Miraflores,18,-12.117592,-77.0367877
21,Pachacamac,19,-12.161178,-76.8597387
22,Pucusana,20,-12.487005,-76.7819267
23,Pueblo Libre,21,-12.075298,-77.0690467
24,Puente Piedra,22,-11.87109,-77.0845627
25,Punta Hermosa,24,-12.315426,-76.8148047
26,Punta Negra,23,-12.362467,-76.7981527
27,Rímac,25,-12.024987,-77.0355787
28,San Bartolo,26,-12.389217,-76.7796997
29,San Borja,41,-12.097504,-76.9973767
30,San Isidro,27,-12.098794,-77.0367017
31,San Juan de Lurigancho,36,-11.993189,-77.0063807
32,San Juan de Miraflores,29,-12.16851,-76.9739347
33,San Luis,30,-12.076449,-76.9999697
34,San Martín de Porres,31,-11.993614,-77.0984137
35,San Miguel,32,-12.077383,-77.0948757
36,Santa Anita,43,-12.044364,-76.9667307
37,Santa María del Mar District,37,-12.404721,-76.7767487
38,Santa Rosa,38,-11.805975,-77.1694217
39,Santiago de Surco,33,-12.131983,-76.9930317
40,Surquillo,34,-12.113521,-77.0172987
41,Villa El Salvador,42,-12.216371,-76.9534117
42,Villa María del Triunfo,35,-12.17054,-76.9244877
43,Cercado Callao,0,-12.04936,-77.1213957
